Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
49ers  49ers,430,1703,4.0,12,9,2,61,102,23.7,8,2020
Chargers  Chargers,427,1917,4.5,17,13,1,55T,112,26.2,8,2020
Steelers  Steelers,414,1783,4.3,13,11,2,74T,94,22.7,6,2020
Cardinals  Cardinals,436,2008,4.6,13,10,0,38T,118,27.1,5,2020
Eagles  Eagles,481,2012,4.2,20,13,5,80,98,20.4,5,2020
Jets  Jets,445,1792,4.0,16,10,5,80T,100,22.5,11,2020
Giants  Giants,432,1782,4.1,14,9,1,56T,115,26.6,10,2020
Saints  Saints,390,1502,3.9,11,8,1,82T,85,21.8,7,2020
Patriots  Patriots,464,2103,4.5,17,10,0,35,131,28.2,2,2020
Vikings  Vikings,472,2151,4.6,19,6,2,42T,136,28.8,5,2020
Dolphins  Dolphins,412,1862,4.5,17,9,0,37,113,27.4,5,2020
Raiders  Raiders,438,2013,4.6,24,14,2,62T,114,26.0,2,2020
Rams  Rams,388,1460,3.8,12,2,0,27,91,23.5,7,2020
Chiefs  Chiefs,433,1954,4.5,14,8,3,65,113,26.1,1,2020
Jaguars  Jaguars,517,2452,4.7,23,23,4,56,140,27.1,4,2020
Colts  Colts,390,1448,3.7,16,4,0,31,94,24.1,4,2020
Texans  Texans,493,2564,5.2,24,17,7,94T,145,29.4,4,2020
Titans  Titans,427,1933,4.5,18,12,2,59,113,26.5,10,2020
Packers  Packers,397,1805,4.5,16,9,3,57,119,30.0,3,2020
Lions  Lions,487,2158,4.4,27,7,2,75T,127,26.1,5,2020
Broncos  Broncos,434,2080,4.8,22,17,3,59,106,24.4,6,2020
Cowboys  Cowboys,510,2541,5.0,20,18,3,69T,142,27.8,9,2020
Browns  Browns,412,1773,4.3,16,6,1,44,116,28.2,12,2020
Bengals  Bengals,463,2368,5.1,13,20,3,72T,126,27.2,4,2020
Bears  Bears,438,1814,4.1,11,9,0,37,104,23.7,6,2020
Panthers  Panthers,408,1936,4.7,17,11,4,98T,114,27.9,6,2020
Bills  Bills,414,1914,4.6,21,11,0,33,125,30.2,5,2020
Ravens  Ravens,382,1740,4.6,12,12,3,74,96,25.1,7,2020
Falcons  Falcons,380,1677,4.4,15,8,2,45,97,25.5,8,2020
